,Гидроэнергетика,"Геотермальная, солнечная энергетика и т.д.",precip,windspeed,cloudcover,solarradiation
2022.01,40.499,634.105,1.8958064516129032,12.896774193548387,32.86774193548387,120.50322580645161
2022.02,35.731,645.073,2.0955714285714286,16.089285714285715,34.33571428571428,170.72142857142856
2022.03,44.742,645.217,15.697612903225806,16.096774193548388,55.458064516129035,181.99354838709678
2022.04,44.021,687.859,1.3011000000000001,17.01,44.28666666666666,251.76333333333335
2022.05,52.201,747.828,0.25787096774193546,17.432258064516127,44.50645161290323,306.1548387096774
2022.06,59.564,610.405,12.751100000000001,15.26,72.28333333333333,230.37
2022.07,85.062,632.088,19.282612903225804,13.154838709677419,71.50322580645161,231.64193548387095
2022.08,148.209,627.118,19.768,14.19032258064516,76.64516129032258,188.50967741935486
2022.09,103.926,623.458,6.5351,13.756666666666666,56.833333333333336,196.97
2022.10,53.802,646.308,0.730774193548387,12.37741935483871,46.33548387096774,157.83548387096772
2022.11,45.22,561.346,1.241466666666667,13.296666666666665,41.809999999999995,120.33
2022.12,42.079,596.547,0.034225806451612904,13.993548387096775,38.9741935483871,99.69999999999999
2023.01,43.556,585.561,1.2003548387096774,14.587096774193547,40.05806451612903,112.19999999999999
2023.02,35.891,559.35,0.004392857142857143,13.799999999999999,37.082142857142856,159.71428571428572
2023.03,39.039,628.352,0.017129032258064517,15.370967741935484,37.24193548387097,208.7741935483871
2023.04,41.112,786.423,0.29873333333333335,16.0,55.81666666666667,222.33333333333334
2023.05,63.444,716.52,2.677967741935484,14.329032258064515,55.97741935483871,245.60967741935485
2023.06,67.825,692.549,1.0572000000000001,13.889999999999999,63.46666666666667,263.8666666666667
2023.07,145.27,626.689,1.356548387096774,13.86774193548387,70.94193548387096,222.09354838709677
2023.08,90.39,777.514,6.630451612903226,13.306451612903226,70.31290322580645,193.7064516129032
2023.09,97.078,645.459,4.787533333333333,12.126666666666667,63.63333333333333,176.62
2023.10,60.747,656.064,1.2935161290322579,11.641935483870967,39.693548387096776,165.05483870967743
2023.11,48.595,706.903,1.5010666666666665,15.583333333333334,43.47,116.52333333333333
2023.12,59.396,578.463,1.2573548387096773,15.112903225806452,51.12903225806452,88.89354838709677
2024.01,46.748,606.221,0.0,7.5,58.4,100.0
