Year,"Geothermal (1,000 toe)",Hydro (GWh),Solar photovoltaics (GWh),Solar thermal (GWH),"Tide, wave and ocean (GWh)",Wind (GWh)
1990,,4684.0,0.8,9.9,,0.1
1991,,3486.0,1.3,11.4,,0.1
1992,,3097.4,1.9,12.6,,0.5
1993,,4227.5,2.0,14.1,,1.3
1994,,2346.1,2.1,16.8,,1.2
1995,,2759.9,2.2,22.1,,0.4
1996,,2424.4,2.6,32.0,,0.3
1997,,2814.0,3.1,45.5,,0.8
1998,,4279.4,3.8,44.0,,1.5
1999,,4159.3,4.6,42.1,,5.8
2000,,4009.6,5.3,41.7,,16.7
2001,,2329.9,6.2,37.2,,12.6
2002,0.1,3232.8,7.0,34.8,,14.9
2003,0.4,4902.3,7.8,32.9,,24.9
2004,1.4,4329.4,9.9,36.1,,47.4
2005,2.6,3674.0,14.4,34.7,,129.9
2006,6.2,3468.2,31.0,33.0,,238.9
2007,11.1,3632.1,71.3,29.4,,375.7
2008,15.7,3070.5,284.3,28.0,,436.0
2009,22.1,2862.9,664.7,30.7,,685.4
2010,33.4,3704.8,1209.1,29.3,1.0,817.0
2011,47.8,4598.8,1535.6,27.4,52.3,862.9
2012,65.3,3970.8,1126.9,26.3,465.9,920.3
2013,87.0,4294.6,1667.3,27.8,483.8,1148.2
2014,108.5,2753.9,2694.0,28.5,492.2,1145.6
2015,135.0,2150.0,4229.7,28.5,496.4,1342.4
2016,162.0,2858.7,5515.8,28.5,495.6,1683.1
2017,183.9,2819.9,7737.9,28.1,489.5,2169.0
2018,205.5,3374.4,10155.0,27.4,485.4,2464.9
2019,224.7,2791.1,14163.0,26.9,474.3,2679.2
2020,241.0,3879.4,19297.9,26.4,457.3,3150.0
2021,255.6,3057.2,24717.6,25.6,455.0,3180.0
2022,279.7,3544.9,30726.3,25.0,423.8,3369.5
2023,280.2,3718.0,33236.4,24.4,437.6,3392.2
